date,Mobility_Index
2020-07-26,-60.17322
2020-07-27,-60.970636
2020-07-28,-62.69653199999999
2020-07-29,-62.244654
2020-07-30,-62.56905599999999
2020-07-31,-63.318428
2020-08-01,-63.53036999999999
2020-08-02,-60.122618
2020-08-03,-61.786018
2020-08-04,-70.209798
2020-08-05,-69.77574600000001
2020-08-06,-69.905844
2020-08-07,-71.25196799999999
2020-08-08,-72.259748
2020-08-09,-69.655044
2020-08-10,-69.26093800000001
2020-08-11,-69.66349600000001
2020-08-12,-68.153066
2020-08-13,-69.06931
2020-08-14,-67.111614
2020-08-15,-68.641774
2020-08-16,-70.133476
2020-08-17,-65.46755200000001
2020-08-18,-61.32900599999999
2020-08-19,-61.544378
2020-08-20,-62.466752
2020-08-21,-61.633736
2020-08-22,-65.10503200000001
2020-08-23,-62.419323999999996
2020-08-24,-60.500456
2020-08-25,-61.76504200000001
2020-08-26,-61.935298
2020-08-27,-60.174760000000006
2020-08-28,-60.55274
2020-08-29,-61.37755
2020-08-30,-63.152326
2020-08-31,-60.988792000000004
2020-09-01,-62.012595999999995
2020-09-02,-60.35298
2020-09-03,-60.887456
2020-09-04,-62.084126
2020-09-05,-59.578332
2020-09-06,-61.993588
2020-09-07,-61.876762
